Date,SP500,RSL,DJIA,NDQ
1996-01-02,5177.4501953125,620.72998046875,585.9400024414062,316.80999755859375
1996-01-03,5194.06982421875,621.3200073242188,572.2899780273438,315.2099914550781
1996-01-04,5173.83984375,617.7000122070312,563.47998046875,310.7699890136719
1996-01-05,5181.43017578125,616.7100219726562,565.1400146484375,312.19000244140625
1996-01-08,5197.7001953125,618.4600219726562,563.1500244140625,312.3900146484375
1996-01-09,5130.1298828125,609.4500122070312,534.4199829101562,307.3999938964844
1996-01-10,5032.93994140625,598.47998046875,535.2899780273438,302.9100036621094
1996-01-11,5065.10009765625,602.6900024414062,555.2000122070312,305.7200012207031
1996-01-12,5061.1201171875,601.8099975585938,552.7100219726562,305.1400146484375
1996-01-15,5043.77978515625,599.8200073242188,534.4400024414062,302.1300048828125
1996-01-16,5088.22021484375,608.4400024414062,546.0499877929688,301.75
1996-01-17,5066.89990234375,606.3699951171875,545.510009765625,302.6199951171875
1996-01-18,5124.35009765625,608.239990234375,554.3200073242188,304.010009765625
1996-01-19,5184.68017578125,611.8300170898438,564.6400146484375,305.2799987792969
1996-01-22,5219.35986328125,613.4000244140625,571.25,307.1700134277344
1996-01-23,5192.27001953125,612.7899780273438,567.3499755859375,308.30999755859375
1996-01-24,5242.83984375,619.9600219726562,582.1400146484375,310.42999267578125
1996-01-25,5216.830078125,617.030029296875,572.260009765625,310.55999755859375
1996-01-26,5271.75,621.6199951171875,577.0499877929688,311.2200012207031
1996-01-29,5304.97998046875,624.219970703125,576.22998046875,311.82000732421875
1996-01-30,5381.2099609375,630.1500244140625,583.989990234375,313.3800048828125
1996-01-31,5395.2998046875,636.02001953125,591.8200073242188,315.3800048828125
1996-02-01,5405.06005859375,638.4600219726562,601.8800048828125,317.32000732421875
1996-02-02,5373.990234375,635.8400268554688,601.4199829101562,317.7200012207031
1996-02-05,5407.58984375,641.4299926757812,615.469970703125,318.4599914550781
1996-02-06,5459.60986328125,646.3300170898438,619.2000122070312,320.1499938964844
1996-02-07,5492.1201171875,649.9299926757812,615.0700073242188,319.4100036621094
1996-02-08,5539.4501953125,656.0700073242188,623.7999877929688,320.4700012207031
1996-02-09,5541.6201171875,656.3699951171875,623.010009765625,321.1199951171875
1996-02-12,5600.14990234375,661.4500122070312,625.2899780273438,321.4100036621094
1996-02-13,5601.22998046875,660.510009765625,618.5399780273438,319.82000732421875
1996-02-14,5579.5498046875,655.5800170898438,617.5900268554688,321.07000732421875
1996-02-15,5551.3701171875,651.3200073242188,620.22998046875,320.75
1996-02-16,5503.31982421875,647.97998046875,619.0399780273438,321.5899963378906
1996-02-20,5458.52978515625,640.6500244140625,616.8300170898438,318.9100036621094
1996-02-21,5515.97021484375,648.0999755859375,627.280029296875,321.3399963378906
1996-02-22,5608.4599609375,658.8599853515625,643.4099731445312,325.1400146484375
1996-02-23,5630.490234375,659.0800170898438,642.5900268554688,325.760009765625
1996-02-26,5565.10009765625,650.4600219726562,637.9199829101562,325.29998779296875
1996-02-27,5549.2099609375,647.239990234375,631.0999755859375,324.8500061035156
1996-02-28,5506.2099609375,644.75,631.4400024414062,325.260009765625
1996-02-29,5485.6201171875,640.4299926757812,622.8300170898438,324.92999267578125
1996-03-01,5536.56005859375,644.3699951171875,604.760009765625,324.1000061035156
1996-03-04,5600.14990234375,650.8099975585938,601.5,325.55999755859375
1996-03-05,5642.419921875,655.7899780273438,615.8800048828125,326.8500061035156
1996-03-06,5629.77001953125,652.0,607.8400268554688,327.1099853515625
1996-03-07,5641.68994140625,653.6500244140625,609.5499877929688,327.4200134277344
1996-03-08,5470.4501953125,633.5,591.7100219726562,319.2099914550781
1996-03-11,5581.0,640.02001953125,605.47998046875,322.07000732421875
1996-03-12,5583.89013671875,637.0900268554688,599.02001953125,321.0199890136719
1996-03-13,5568.72021484375,638.5499877929688,614.75,323.4599914550781
1996-03-14,5586.06005859375,640.8699951171875,610.5599975585938,325.0799865722656
1996-03-15,5584.97021484375,641.4299926757812,621.7100219726562,325.0799865722656
1996-03-18,5683.60009765625,652.6500244140625,633.260009765625,328.6700134277344
1996-03-19,5669.509765625,651.6900024414062,629.3900146484375,328.92999267578125
1996-03-20,5655.419921875,649.97998046875,615.260009765625,328.3399963378906
1996-03-21,5626.8798828125,649.1900024414062,611.510009765625,328.8699951171875
1996-03-22,5636.64013671875,650.6199951171875,612.8800048828125,329.4800109863281
1996-03-25,5643.85986328125,650.0399780273438,597.8200073242188,327.7200012207031
1996-03-26,5670.60009765625,652.969970703125,602.0800170898438,327.7099914550781
1996-03-27,5626.8798828125,648.9099731445312,608.0599975585938,328.489990234375
1996-03-28,5630.85009765625,648.9400024414062,608.0800170898438,328.82000732421875
1996-03-29,5587.14013671875,645.5,609.6900024414062,330.7699890136719
1996-04-01,5637.72021484375,653.72998046875,612.989990234375,332.44000244140625
1996-04-02,5671.68017578125,655.260009765625,615.8099975585938,333.2300109863281
1996-04-03,5689.740234375,655.8800048828125,618.5700073242188,334.07000732421875
1996-04-04,5682.8798828125,655.8599853515625,618.0,334.7900085449219
1996-04-08,5594.3701171875,644.239990234375,610.6099853515625,330.7099914550781
1996-04-09,5560.41015625,642.1900024414062,611.0599975585938,332.42999267578125
1996-04-10,5485.97998046875,633.5,609.1099853515625,331.0299987792969
1996-04-11,5487.06982421875,631.1799926757812,604.0700073242188,329.4700012207031
1996-04-12,5532.58984375,636.7100219726562,605.0499877929688,331.17999267578125
1996-04-15,5592.919921875,642.489990234375,611.0800170898438,333.5199890136719
